"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TCP","1466","58062  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=1380 TSval=3284624637 TSecr=2563022075 [TCP PDU reassembled in 5]"
"2","0.000006","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TCP","1466","58062  >  443 [ACK] Seq=1381 Ack=1 Win=2048 Len=1380 TSval=3284624637 TSecr=2563022075 [TCP PDU reassembled in 5]"
"3","0.000011","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TCP","1466","58062  >  443 [ACK] Seq=2761 Ack=1 Win=2048 Len=1380 TSval=3284624637 TSecr=2563022075 [TCP PDU reassembled in 5]"
"4","0.000012","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TCP","1466","58062  >  443 [ACK] Seq=4141 Ack=1 Win=2048 Len=1380 TSval=3284624637 TSecr=2563022075 [TCP PDU reassembled in 5]"
"5","0.000174","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TLSv1.2","976","Application Data"
"6","0.021129","2a03:2880:f07e:d:face:b00c:0:6206","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58062 [ACK] Seq=1 Ack=6411 Win=2013 Len=0 TSval=2563025410 TSecr=3284624637"
"7","0.032761","2a03:2880:f07e:d:face:b00c:0:6206","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","118","Application Data"
"8","0.033038","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TCP","86","58062  >  443 [ACK] Seq=6411 Ack=33 Win=2047 Len=0 TSval=3284624670 TSecr=2563025423"
"9","0.052903","2a03:2880:f07e:d:face:b00c:0:6206","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","129","Application Data"
"10","0.053299","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TCP","86","58062  >  443 [ACK] Seq=6411 Ack=76 Win=2047 Len=0 TSval=3284624690 TSecr=2563025445"
"11","0.057030","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f07e:d:face:b00c:0:6206","TLSv1.2","122","Application Data"
"12","0.113778","2a03:2880:f07e:d:face:b00c:0:6206","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58062 [ACK] Seq=76 Ack=6447 Win=2038 Len=0 TSval=2563025506 TSecr=3284624694"
"13","0.534624","157.240.245.61","10.0.0.147","TCP","105","5222  >  63822 [PSH, ACK] Seq=1 Ack=1 Win=293 Len=39 TSval=360503197 TSecr=27590617"
"14","0.535236","10.0.0.147","157.240.245.61","TCP","66","63822  >  5222 [ACK] Seq=1 Ack=40 Win=2047 Len=0 TSval=27680726 TSecr=360503197"
"15","0.538408","10.0.0.147","157.240.245.61","TCP","95","63822  >  5222 [PSH, ACK] Seq=1 Ack=40 Win=2048 Len=29 TSval=27680729 TSecr=360503197"
"16","0.550173","157.240.245.61","10.0.0.147","TCP","66","5222  >  63822 [ACK] Seq=40 Ack=30 Win=293 Len=0 TSval=360503290 TSecr=27680729"
"17","0.551838","157.240.245.61","10.0.0.147","TCP","66","[TCP Dup ACK 16#1] 5222  >  63822 [ACK] Seq=40 Ack=30 Win=293 Len=0 TSval=360503290 TSecr=27680729"
"18","0.808582","2601:19b:681:6a0:443d:6eeb:d343:8f85","2001:558:feed::1","DNS","98","Standard query 0xb4e0 AAAA mask.apple-dns.net"
"19","0.808787","2601:19b:681:6a0:443d:6eeb:d343:8f85","2001:558:feed::1","DNS","98","Standard query 0x8439 A mask.apple-dns.net"
"20","0.814542","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","1412","Initial, DCID=aafc6f683af1543e, SCID=b73eeb1283210ec8, PKN: 0, CRYPTO, PADDING"
"21","0.831343","2001:558:feed::1","2601:19b:681:6a0:443d:6eeb:d343:8f85","DNS","322","Standard query response 0xb4e0 AAAA mask.apple-dns.net AAAA 2620:149:a41:109::b AAAA 2620:149:a41:100::9 AAAA 2620:149:a41:100::5 AAAA 2620:149:a41:109::7 AAAA 2620:149:a41:100::4 AAAA 2620:149:a41:100::7 AAAA 2620:149:a41:109::5 AAAA 2620:149:a41:109::6"
"22","0.836871","2001:558:feed::1","2601:19b:681:6a0:443d:6eeb:d343:8f85","DNS","226","Standard query response 0x8439 A mask.apple-dns.net A 17.248.138.136 A 17.248.138.133 A 17.248.254.103 A 17.248.254.107 A 17.248.254.100 A 17.248.138.132 A 17.248.254.104 A 17.248.138.135"
"23","0.837246","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","1262","Handshake, DCID=b73eeb1283210ec8, SCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44"
"24","0.839456","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","176","Handshake, DCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44, SCID=b73eeb1283210ec8"
"25","0.839461","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","1412","Initial, DCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44, SCID=b73eeb1283210ec8, PKN: 1, ACK, PADDING"
"26","0.841440","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","787","Protected Payload (KP0), DCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44"
"27","0.841616","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","184","Protected Payload (KP0), DCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44"
"28","0.859268","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","881","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"29","0.861066","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","94","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"30","0.861068","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","94","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"31","0.861069","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","119","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"32","0.861446","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","105","Protected Payload (KP0), DCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44"
"33","0.861450","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","98","58081  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=1158631344 TSecr=0 SACK_PERM"
"34","0.868334","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","93","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"35","0.869377","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","93","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"36","0.869378","2620:149:a41:109::b","2601:19b:681:6a0:443d:6eeb:d343:8f85","QUIC","329","Protected Payload (KP0), DCID=b73eeb1283210ec8"
"37","0.888959","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","94","443  >  58081 [SYN, ACK] Seq=0 Ack=1 Win=32844 Len=0 MSS=1440 SACK_PERM TSval=1664575663 TSecr=1158631344 WS=512"
"38","0.889829","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=1158631372 TSecr=1664575663"
"39","0.889832","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","603","Client Hello (SNI=gateway.icloud.com)"
"40","0.895369","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:109::b","QUIC","105","Protected Payload (KP0), DCID=387c1b349fb9402c0e1ae10db5522d81ec2adf44"
"41","0.915250","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58081 [ACK] Seq=1 Ack=518 Win=32768 Len=0 TSval=1664575699 TSecr=1158631372"
"42","0.915723","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"43","0.916112","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58081 [PSH, ACK] Seq=1429 Ack=518 Win=32768 Len=1428 TSval=1664575699 TSecr=1158631372 [TCP PDU reassembled in 49]"
"44","0.916422","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=518 Ack=1429 Win=129920 Len=0 TSval=1158631398 TSecr=1664575699"
"45","0.916552","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=518 Ack=2857 Win=129600 Len=0 TSval=1158631400 TSecr=1664575699"
"46","0.917202","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1326","443  >  58081 [PSH, ACK] Seq=2857 Ack=518 Win=32768 Len=1240 TSval=1664575699 TSecr=1158631372 [TCP PDU reassembled in 49]"
"47","0.917275","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=518 Ack=4097 Win=129792 Len=0 TSval=1158631400 TSecr=1664575699"
"48","0.918212","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58081 [ACK] Seq=4097 Ack=518 Win=32768 Len=1428 TSval=1664575699 TSecr=1158631372 [TCP PDU reassembled in 49]"
"49","0.918213","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","579","Application Data, Application Data, Application Data"
"50","0.919157","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=518 Ack=6018 Win=129088 Len=0 TSval=1158631401 TSecr=1664575699"
"51","0.930236","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","150","Change Cipher Spec, Application Data"
"52","0.938612","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","1397","Application Data"
"53","0.939390","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","1141","Application Data"
"54","0.939928","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","182","Application Data"
"55","0.940349","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","117","Application Data"
"56","0.946419","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","357","Application Data"
"57","0.946863","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=3075 Ack=6289 Win=130752 Len=0 TSval=1158631430 TSecr=1664575731"
"58","0.947854","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","357","Application Data"
"59","0.948057","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=3075 Ack=6560 Win=130752 Len=0 TSval=1158631431 TSecr=1664575731"
"60","0.948707","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","148","Application Data"
"61","0.948836","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=3075 Ack=6622 Win=131008 Len=0 TSval=1158631431 TSecr=1664575731"
"62","0.948939","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","117","Application Data"
"63","0.955897","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","117","Application Data"
"64","0.956080","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=3106 Ack=6653 Win=131008 Len=0 TSval=1158631439 TSecr=1664575740"
"65","0.965989","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58081 [ACK] Seq=6653 Ack=3075 Win=32256 Len=0 TSval=1664575748 TSecr=1158631422"
"66","1.004137","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","117","[TCP Retransmission] 58081  >  443 [PSH, ACK] Seq=3075 Ack=6653 Win=131072 Len=31 TSval=1158631487 TSecr=1664575748"
"67","1.008132","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58081 [ACK] Seq=6653 Ack=3106 Win=32256 Len=0 TSval=1664575789 TSecr=1158631432"
